Ref,Val,Package,Mid X,Mid Y,Rotation,Side
"C1","1uF","C_0402_1005Metric",62.331600,-73.634600,0.000000,top
"C2","1uF","C_0402_1005Metric",61.849000,-68.097400,90.000000,top
"C3","10uF","C_0402_1005Metric",50.952400,-66.675000,0.000000,top
"C4","0.1uF","C_0402_1005Metric",50.952400,-65.715300,0.000000,top
"R1","4K7","R_0402_1005Metric",50.952400,-67.640200,0.000000,top
"R2","4K7","R_0402_1005Metric",62.357000,-65.659000,180.000000,top
"R3","4K7","R_0402_1005Metric",62.357000,-64.668400,180.000000,top
"R4","4K7","R_0402_1005Metric",50.952400,-68.630800,0.000000,top
"U2","AP2112K-3.3","SOT-23-5",62.799000,-71.100100,90.000000,top
